1,ADILABAD,58,537,19,76,36,197,0,0,0,19,76
2,NIZAMABAD,72,755,48,358,9,7,1,8,2,49,360
3,KARIMNAGAR,25,354,13,122,7,9,4,30,17,17,139
4,MEDAK,184,2730,54,919,88,449,25,24,14,79,933
5,RANGAREDDY,145,1092,48,195,31,97,31,97,70,79,265
6,MAHABUBNAGAR,14,452,1,9,12,207,0,0,0,1,9
7,NALGONDA,135,2235,62,399,43,320,24,166,108,86,508
8,WARANGAL,7,76,5,4,2,34,0,0,0,5,4
9,KHAMMAM,160,2186,93,435,49,351,11,165,53,104,487
10,SRIKAKULAM,508,4033,334,1110,64,412,93,999,492,427,1602
11,VIZIANAGARAM,107,1363,49,253,21,84,30,401,87,79,341
12,VISAKHAPATNAM,211,1483,162,503,45,448,4,16,6,166,510
13,EAST
GODAVARI,836,3912,727,1978,67,529,42,124,81,769,2059
14,WEST
GODAVARI,776,3446,745,2233,16,26,2,22,7,747,2240
15,KRISHNA,25,180,4,15,18,48,2,13,8,6,23
16,GUNTUR,759,8025,376,3502,325,1737,33,372,324,409,3826
17,PRAKASAM,168,2040,15,101,140,683,12,232,50,27,152
18,NELLORE,666,6792,542,2363,94,1420,6,97,47,548,2410
19,KADAPA,18,619,10,296,6,21,0,0,0,10,296
20,KURNOOL,53,1619,23,144,28,719,2,17,9,25,153
21,ANANTHAPUR,714,5821,29,90,604,3186,63,467,70,92,160
22,CHITTOOR,45,2173,11,685,29,291,2,10,3,13,688
ALL
DISTRICTS,5686,51925,3370,15790,1734,11277,387,3260,1450,3757,17240
1,ADILABAD,328303,450198,53464,42647,234218,319583,15629,42973,20151,69093,62798
2,NIZAMABAD,371883,357578,193293,165738,100891,91777,27351,48947,25093,220644,190831
3,KARIMNAGAR,546409,559792,316087,294113,104760,77183,67481,106549,80082,383568,374195
4,MEDAK,541557,548966,128404,103888,255028,223952,66622,87877,43160,195026,147048
5,RANGAREDDY,259983,337733,49709,39967,99783,94511,23446,33127,14766,73155,54732
6,MAHABUBNAGAR,761838,988683,132561,143034,410120,429007,96670,224306,99078,229231,242112
7,NALGONDA,585344,754808,213917,194513,153456,148585,84310,170622,77712,298227,272225
8,WARANGAL,474526,506312,251961,218672,118712,101792,54002,95985,53619,305963,272290
9,KHAMMAM,267298,324091,131950,133781,92785,103134,27964,63737,29699,159914,163480
10,SRIKAKULAM,461825,307914,304209,177560,93430,53615,50295,63994,36914,354504,214475
11,VIZIANAGARAM,385619,292697,159854,84301,110813,70090,106174,108592,58062,266028,142363
12,VISAKHAPATNAM,355558,218042,198984,98105,98718,62911,57856,49811,24586,256840,122692
13,EAST
GODAVARI,591563,393393,416293,253251,134011,82371,37229,45320,25138,453522,278388
14,WEST
GODAVARI,496068,416957,468177,380662,22045,19851,2338,5113,2892,470515,383554
15,KRISHNA,488069,471806,359877,303821,109483,124253,14014,34532,15111,373891,318933
16,GUNTUR,685605,643418,441323,385543,200012,180416,15390,31933,17642,456713,403184
17,PRAKASAM,583508,770930,148261,138148,354990,387032,41524,100489,42736,189785,180884
18,NELLORE,342982,404532,250779,227668,54673,81842,7529,17070,7743,258308,235411
19,KADAPA,393236,502650,144463,120510,147503,203653,24238,49339,20637,168701,141147
20,KURNOOL,544022,945171,135800,168171,350451,589402,32384,100211,38342,168184,206512
21,ANANTHAPUR,626250,1141597,57879,82956,461346,746178,71706,184441,69630,129585,152586
22,CHITTOOR,561836,555463,143136,103600,218839,149431,73512,110656,53561,216648,157161
ALL
DISTRICTS,10653282,11892730,4700381,3860649,3926067,4340569,997664,1775625,856353,5698045,4717002
