1,ADILABAD,58,537,0,0,0,0,2,1,0,0,17,75,19,76
2,NIZAMABAD,72,755,1,3,29,262,0,0,2,13,17,82,49,360
3,KARIMNAGAR,25,354,2,2,12,121,5,16,0,0,0,0,17,139
4,MEDAK,184,2730,0,0,37,860,0,0,38,71,4,2,79,933
5,RANGAREDDY,145,1092,0,0,41,178,0,0,38,88,0,0,79,265
6,MAHABUBNAGAR,14,452,0,0,1,9,0,0,0,0,0,0,1,9
7,NALGONDA,135,2235,33,79,41,337,3,6,27,85,0,0,86,508
8,WARANGAL,7,76,0,0,4,3,1,0,0,0,0,0,5,4
9,KHAMMAM,160,2186,27,57,57,277,11,22,9,39,9,93,104,487
10,SRIKAKULAM,508,4033,177,699,0,0,3,3,7,7,264,893,427,1602
11,VIZIANAGARAM,107,1363,3,5,0,0,1,2,15,6,75,328,79,341
12,VISAKHAPATNAM,211,1483,30,27,0,0,0,0,1,1,135,482,166,510
13,EAST
GODAVARI,836,3912,379,547,0,0,1,1,43,126,362,1384,769,2059
14,WEST
GODAVARI,776,3446,340,823,0,0,0,0,96,498,316,919,747,2240
15,KRISHNA,25,180,0,0,0,0,1,4,3,9,4,10,6,23
16,GUNTUR,759,8025,129,2155,0,0,0,0,31,174,252,1497,409,3826
17,PRAKASAM,168,2040,1,2,0,0,0,0,4,24,22,125,27,152
18,NELLORE,666,6792,136,440,0,0,6,37,34,202,387,1731,548,2410
19,KADAPA,18,619,0,0,0,0,0,0,0,0,10,296,10,296
20,KURNOOL,53,1619,9,54,0,0,0,0,3,11,13,89,25,153
21,ANANTHAPUR,714,5821,54,98,0,0,0,0,18,25,21,37,92,160
22,CHITTOOR,45,2173,0,0,0,0,0,0,2,3,11,685,13,688
ALL
DISTRICTS,5686,51925,1321,4992,222,2047,34,92,371,1383,1919,8726,3757,17240
1,ADILABAD,328303,450198,18731,16190,24199,14285,16024,16681,14280,15537,12,105,69093,62798
2,NIZAMABAD,371883,357578,81607,56145,22864,13527,4971,3394,126534,117424,50,341,220644,190831
3,KARIMNAGAR,546409,559792,123779,74686,28937,20222,267739,264603,8013,9501,3306,5183,383568,374195
4,MEDAK,541557,548966,6235,2138,30466,12980,14703,10112,147424,118202,4929,3616,195026,147048
5,RANGAREDDY,259983,337733,4172,3517,3453,1460,9444,7284,57288,41537,782,934,73155,54732
6,MAHABUBNAGAR,761838,988683,46103,46678,9871,7520,7905,8026,153250,162965,16445,16924,229231,242112
7,NALGONDA,585344,754808,114483,103662,14795,8696,36419,32946,139213,121104,5257,5817,298227,272225
8,WARANGAL,474526,506312,5339,7824,57522,40227,231800,207134,13040,12227,5839,4880,305963,272290
9,KHAMMAM,267298,324091,67810,61271,43482,35864,26401,29748,20866,24889,13376,11708,159914,163480
10,SRIKAKULAM,461825,307914,238891,148555,98133,52272,9015,4494,7836,5252,6452,3902,354504,214475
11,VIZIANAGARAM,385619,292697,49312,32230,197590,85875,18819,8902,13873,13496,1546,1859,266028,142363
12,VISAKHAPATNAM,355558,218042,108230,53303,115108,52049,18322,7370,15305,6410,5514,3559,256840,122692
13,EAST
GODAVARI,591563,393393,317644,170424,49339,36348,1545,1223,81785,61537,12199,8856,453522,278388
14,WEST
GODAVARI,496068,416957,273864,179774,12173,10467,3501,2562,165389,177277,18170,13473,470515,383554
15,KRISHNA,488069,471806,287813,235076,22709,16942,4824,4519,44660,48053,17495,14343,373891,318933
16,GUNTUR,685605,643418,369742,313793,3555,4483,3650,2903,62048,66752,18216,15253,456713,403184
17,PRAKASAM,583508,770930,54844,57124,29918,20138,2675,2914,80173,88411,25606,12297,189785,180884
18,NELLORE,342982,404532,100235,89859,108008,80319,13248,14365,35399,44875,7149,5993,258308,235411
19,KADAPA,393236,502650,37642,25019,14213,8519,11581,8788,107093,97544,1139,1277,168701,141147
20,KURNOOL,544022,945171,102605,116295,11199,11328,14615,22569,35284,43347,9895,12973,168184,206512
21,ANANTHAPUR,626250,1141597,22253,25820,7570,4364,5190,5504,99214,116016,917,882,129585,152586
22,CHITTOOR,561836,555463,10781,9249,33878,15554,36436,23699,145096,107015,1802,1644,216648,157161
ALL
DISTRICTS,10653282,11892730,2442115,1828631,938982,553439,758827,689741,1573063,1499373,176096,145817,5698045,4717002
