(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
1,ADILABAD,58,537,58,537,0,0,0,0,0,0
2,NIZAMABAD,72,755,72,755,0,0,0,0,0,0
3,KARIMNAGAR,25,354,25,354,0,0,0,0,0,0
4,MEDAK,184,2730,179,2717,0,0,5,14,0,0
5,RANGAREDDY,145,1092,145,1092,0,0,0,0,0,0
6,MAHABUBNAGAR,14,452,14,452,0,0,0,0,0,0
7,NALGONDA,135,2235,135,2235,0,0,0,0,0,0
8,WARANGAL,7,76,7,76,0,0,0,0,0,0
9,KHAMMAM,160,2186,159,2185,0,0,1,0,0,0
10,SRIKAKULAM,508,4033,507,4017,0,0,1,16,0,0
11,VIZIANAGARAM,107,1363,101,1310,0,0,3,23,3,30
12,VISAKHAPATNAM,211,1483,209,1476,0,0,2,7,0,0
13,EAST
GODAVARI,836,3912,805,3868,6,9,25,35,0,0
14,WEST
GODAVARI,776,3446,730,3220,2,7,29,62,15,156
15,KRISHNA,25,180,25,180,0,0,0,0,0,0
16,GUNTUR,759,8025,752,7979,0,0,7,46,0,0
17,PRAKASAM,168,2040,168,2040,0,0,0,0,0,0
18,NELLORE,666,6792,657,6527,0,0,5,186,4,79
19,KADAPA,18,619,18,619,0,0,0,0,0,0
20,KURNOOL,53,1619,53,1619,0,0,0,0,0,0
21,ANANTHAPUR,714,5821,713,5801,0,0,0,0,1,21
22,CHITTOOR,45,2173,44,2101,1,73,0,0,0,0
ALL
DISTRICTS,5686,51925,5576,51160,9,89,78,389,23,286
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
1,ADILABAD,328303,450198,306457,416120,1189,3105,20657,30973,0,0
2,NIZAMABAD,371883,357578,331865,321009,3707,7215,36310,29323,1,32
3,KARIMNAGAR,546409,559792,525977,537480,1051,2246,19381,20066,0,0
4,MEDAK,541557,548966,513504,519507,2705,5331,25348,24128,0,0
5,RANGAREDDY,259983,337733,250135,324739,965,2764,8883,10231,0,0
6,MAHABUBNAGAR,761838,988683,711341,918372,3197,9260,47300,61050,0,0
7,NALGONDA,585344,754808,555300,707258,2938,8630,27106,38920,0,0
8,WARANGAL,474526,506312,451834,483232,1655,2607,21037,20473,0,0
9,KHAMMAM,267298,324091,243246,289909,4029,10892,19866,22542,157,747
10,SRIKAKULAM,461825,307914,404825,264522,16262,23778,40722,19562,16,51
11,VIZIANAGARAM,385619,292697,338097,245485,12590,21869,34863,25176,69,167
12,VISAKHAPATNAM,355558,218042,332524,201525,4291,5910,18743,10606,0,0
13,EAST
GODAVARI,591563,393393,512779,337999,6456,11009,71874,42828,454,1557
14,WEST
GODAVARI,496068,416957,436141,358972,5326,9351,51575,42576,3026,6057
15,KRISHNA,488069,471806,427265,410474,5126,11896,45816,43135,9862,6301
16,GUNTUR,685605,643418,619975,583963,4993,9689,60637,49765,0,0
17,PRAKASAM,583508,770930,510733,688460,6843,17670,51679,55569,14253,9231
18,NELLORE,342982,404532,319048,375010,1802,4999,20425,21926,1707,2596
19,KADAPA,393236,502650,349462,447870,3801,10556,37484,42004,2489,2220
20,KURNOOL,544022,945171,479675,835512,8389,32890,53383,72621,2575,4147
21,ANANTHAPUR,626250,1141597,566489,1029604,4826,15664,51385,88851,3550,7478
22,CHITTOOR,561836,555463,522741,514659,4034,9960,33152,28531,1909,2312
ALL
DISTRICTS,10653282,11892730,9709413,10811684,106175,237293,797626,800857,40068,42897
