state_name,district_name,state_code,district_code
ANDAMAN AND NICOBAR,NICOBAR,35,638
ANDAMAN AND NICOBAR,NORTH & MIDDLE ANDAMANS,35,639
ANDAMAN AND NICOBAR,SOUTH ANDAMAN,35,640
ANDHRA PRADESH,ADILABAD,28,532
ANDHRA PRADESH,ANANTAPUR,28,553
ANDHRA PRADESH,CHITTOOR,28,554
ANDHRA PRADESH,EAST GODAVARI,28,545
ANDHRA PRADESH,GUNTUR,28,548
ANDHRA PRADESH,HYDERABAD,28,536
ANDHRA PRADESH,KARIMNAGAR,28,534
ANDHRA PRADESH,KHAMMAM,28,541
ANDHRA PRADESH,KRISHNA,28,547
ANDHRA PRADESH,KURNOOL,28,552
ANDHRA PRADESH,MAHBUBNAGAR,28,538
ANDHRA PRADESH,MEDAK,28,535
ANDHRA PRADESH,NALGONDA,28,539
ANDHRA PRADESH,NIZAMABAD,28,533
ANDHRA PRADESH,PRAKASAM,28,549
ANDHRA PRADESH,RANGAREDDY,28,537
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,28,550
ANDHRA PRADESH,SRIKAKULAM,28,542
ANDHRA PRADESH,VISAKHAPATNAM,28,544
ANDHRA PRADESH,VIZIANAGARAM,28,543
ANDHRA PRADESH,WARANGAL,28,540
ANDHRA PRADESH,WEST GODAVARI,28,546
ANDHRA PRADESH,Y.S.R.,28,551
ARUNACHAL PRADESH,ANJAW,12,260
ARUNACHAL PRADESH,CHANGLANG,12,253
ARUNACHAL PRADESH,DIBANG VALLEY,12,257
ARUNACHAL PRADESH,EAST KAMENG,12,247
ARUNACHAL PRADESH,EAST SIANG,12,251
ARUNACHAL PRADESH,KURUNG KUMEY,12,256
ARUNACHAL PRADESH,LOHIT,12,259
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,12,258
ARUNACHAL PRADESH,LOWER SUBANSIRI,12,255
ARUNACHAL PRADESH,PAPUM PARE,12,248
ARUNACHAL PRADESH,TAWANG,12,245
ARUNACHAL PRADESH,TIRAP,12,254
ARUNACHAL PRADESH,UPPER SIANG,12,252
ARUNACHAL PRADESH,UPPER SUBANSIRI,12,249
ARUNACHAL PRADESH,WEST KAMENG,12,246
ARUNACHAL PRADESH,WEST SIANG,12,250
ASSAM,BASKA,18,324
ASSAM,BARPETA,18,303
ASSAM,BONGAIGAON,18,319
ASSAM,CACHAR,18,316
ASSAM,CHIRANG,18,320
ASSAM,DARRANG,18,325
ASSAM,DHEMAJI,18,308
ASSAM,DHUBRI,18,301
ASSAM,DIBRUGARH,18,310
ASSAM,DIMA HASAO(N.C.HILLS),18,315
ASSAM,GOALPARA,18,302
ASSAM,GOLAGHAT,18,313
ASSAM,HAILAKANDI,18,318
ASSAM,JORHAT,18,312
ASSAM,KAMRUP(RURAL),18,321
ASSAM,KAMRUP(METRO),18,322
ASSAM,KARBI-ANGLONG,18,314
ASSAM,KARIMGANJ,18,317
ASSAM,KOKRAJHAR,18,300
ASSAM,LAKHIMPUR,18,307
