size_class,social_group,state_name,state_code,district_name,district_code,holding_no,holding_ar,holding_whly-owned_self-operatd_no,holding_whly-owned_self-operatd_ar,holding_whly_leased-in_no,holding_whly_leased-in_ar,holding_whly-operatd_no,holding_whly-operatd_ar,holding_partly-ownd_leased-in_operatd_no,holding_partly-ownd_leased-in_operatd_ownd-ar,holding_partly-ownd_leased-in_operatd_leasdin-ar,holding_partly-ownd_leased-in_operatd_operatd-ar,holding_partly-ownd_leased-in_operatd_tot-ar
ALL CLASSES,INSTITUTIONAL,MANIPUR,14.0,BISHNUPUR,275.0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MANIPUR,14.0,CHANDEL,280.0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MANIPUR,14.0,CHURACHANDPUR,274.0,5,35,5,35,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MANIPUR,14.0,IMPHAL EAST,278.0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MANIPUR,14.0,IMPHAL WEST,277.0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MANIPUR,14.0,SENAPATI,272.0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MANIPUR,14.0,TAMENGLONG,273.0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MANIPUR,14.0,THOUBAL,276.0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MANIPUR,14.0,UKHRUL,279.0,20,140,20,140,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14.0,BISHNUPUR,275.0,1005,1290,565,717,354,462,0,0,86,61,50,0,111
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14.0,CHANDEL,280.0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14.0,CHURACHANDPUR,274.0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14.0,IMPHAL EAST,278.0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14.0,IMPHAL WEST,277.0,1535,2380,1535,2380,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14.0,SENAPATI,272.0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14.0,TAMENGLONG,273.0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14.0,THOUBAL,276.0,565,585,545,560,0,0,0,0,20,17,8,0,25
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14.0,UKHRUL,279.0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,OTHERS,MANIPUR,14.0,BISHNUPUR,275.0,12890,18000,10186,14519,1421,1502,21,16,1262,1155,808,0,1963
ALL CLASSES,OTHERS,MANIPUR,14.0,CHANDEL,280.0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,OTHERS,MANIPUR,14.0,CHURACHANDPUR,274.0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,OTHERS,MANIPUR,14.0,IMPHAL EAST,278.0,18010,18580,16457,16408,900,600,0,0,653,1101,249,222,1572
ALL CLASSES,OTHERS,MANIPUR,14.0,IMPHAL WEST,277.0,20410,18750,19973,18318,288,291,0,0,149,102,39,0,141
ALL CLASSES,OTHERS,MANIPUR,14.0,SENAPATI,272.0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,OTHERS,MANIPUR,14.0,TAMENGLONG,273.0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,OTHERS,MANIPUR,14.0,THOUBAL,276.0,31860,33305,26117,26858,1980,1206,0,0,3763,3546,1695,0,5241
ALL CLASSES,OTHERS,MANIPUR,14.0,UKHRUL,279.0,0,0,0,0,0,0,0,0,0,0,0,0,0
