size_class,social_group,state_name,state_code,district_name,district_code,holding_no,holding_ar,holding_canal_no,holding_canal_ar,holding_tank_no,holding_tank_ar,holding_well_no,holding_well_ar,holding_tubewell_no,holding_tubewell_ar,no_holdings_othersources,area_irrigated_othersources,no_holdings_receiving_irrigation,total_irrigated_area
ALL CLASSES,INSTITUTIONAL,MANIPUR,14,BISHNUPUR,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MANIPUR,14,CHANDEL,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MANIPUR,14,CHURACHANDPUR,274,5,35,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MANIPUR,14,IMPHAL EAST,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MANIPUR,14,IMPHAL WEST,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MANIPUR,14,SENAPATI,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MANIPUR,14,TAMENGLONG,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MANIPUR,14,THOUBAL,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MANIPUR,14,UKHRUL,279,20,140,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14,BISHNUPUR,275,1005,1290,34,17,0,0,0,0,0,0,68,28,86,45
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14,CHANDEL,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14,CHURACHANDPUR,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14,IMPHAL EAST,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14,IMPHAL WEST,277,1535,2380,11,35,0,0,0,0,0,0,96,60,107,95
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14,SENAPATI,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14,TAMENGLONG,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14,THOUBAL,276,565,585,20,8,0,0,0,0,0,0,565,275,565,284
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14,UKHRUL,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,OTHERS,MANIPUR,14,BISHNUPUR,275,12890,18000,7020,5615,0,0,0,0,0,0,5641,2521,9065,8135
ALL CLASSES,OTHERS,MANIPUR,14,CHANDEL,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,OTHERS,MANIPUR,14,CHURACHANDPUR,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,OTHERS,MANIPUR,14,IMPHAL EAST,278,18010,18580,0,0,0,0,0,0,0,0,1519,1530,1518,1530
ALL CLASSES,OTHERS,MANIPUR,14,IMPHAL WEST,277,20410,18750,932,601,0,0,0,0,0,0,564,351,1495,952
ALL CLASSES,OTHERS,MANIPUR,14,SENAPATI,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,OTHERS,MANIPUR,14,TAMENGLONG,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,OTHERS,MANIPUR,14,THOUBAL,276,31860,33305,13386,8926,0,0,0,0,0,0,18320,12120,29446,21046
ALL CLASSES,OTHERS,MANIPUR,14,UKHRUL,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED TRIBES,MANIPUR,14,BISHNUPUR,275,50,20,10,4,0,0,0,0,0,0,20,1,20,5
ALL CLASSES,SCHEDULED TRIBES,MANIPUR,14,CHANDEL,280,6265,9670,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED TRIBES,MANIPUR,14,CHURACHANDPUR,274,15385,13710,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED TRIBES,MANIPUR,14,IMPHAL EAST,278,1700,1940,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED TRIBES,MANIPUR,14,IMPHAL WEST,277,185,120,2,1,0,0,0,0,0,0,0,0,2,1
ALL CLASSES,SCHEDULED TRIBES,MANIPUR,14,SENAPATI,272,20580,22220,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED TRIBES,MANIPUR,14,TAMENGLONG,273,7685,16020,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED TRIBES,MANIPUR,14,THOUBAL,276,185,200,0,0,0,0,0,0,0,0,185,98,185,98
ALL CLASSES,SCHEDULED TRIBES,MANIPUR,14,UKHRUL,279,12285,15095,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,ALL SOCIAL GROUPS,MANIPUR,14,BISHNUPUR,275,13945,19310,7064,5636,0,0,0,0,0,0,5729,2550,9171,8185
ALL CLASSES,ALL SOCIAL GROUPS,MANIPUR,14,CHANDEL,280,6265,9670,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,ALL SOCIAL GROUPS,MANIPUR,14,CHURACHANDPUR,274,15390,13745,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,ALL SOCIAL GROUPS,MANIPUR,14,IMPHAL EAST,278,19710,20520,0,0,0,0,0,0,0,0,1519,1530,1518,1530
ALL CLASSES,ALL SOCIAL GROUPS,MANIPUR,14,IMPHAL WEST,277,22130,21250,945,637,0,0,0,0,0,0,660,412,1604,1049
ALL CLASSES,ALL SOCIAL GROUPS,MANIPUR,14,SENAPATI,272,20580,22220,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,ALL SOCIAL GROUPS,MANIPUR,14,TAMENGLONG,273,7685,16020,0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,ALL SOCIAL GROUPS,MANIPUR,14,THOUBAL,276,32610,34090,13406,8934,0,0,0,0,0,0,19070,12494,30196,21428
ALL CLASSES,ALL SOCIAL GROUPS,MANIPUR,14,UKHRUL,279,12305,15235,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,MANIPUR,14,BISHNUPUR,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,MANIPUR,14,CHANDEL,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,MANIPUR,14,CHURACHANDPUR,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,MANIPUR,14,IMPHAL EAST,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,MANIPUR,14,IMPHAL WEST,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,MANIPUR,14,SENAPATI,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,MANIPUR,14,TAMENGLONG,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,MANIPUR,14,THOUBAL,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,MANIPUR,14,UKHRUL,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,MANIPUR,14,BISHNUPUR,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,MANIPUR,14,CHANDEL,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,MANIPUR,14,CHURACHANDPUR,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,MANIPUR,14,IMPHAL EAST,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,MANIPUR,14,IMPHAL WEST,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,MANIPUR,14,SENAPATI,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,MANIPUR,14,TAMENGLONG,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,MANIPUR,14,THOUBAL,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,MANIPUR,14,UKHRUL,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,OTHERS,MANIPUR,14,BISHNUPUR,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,OTHERS,MANIPUR,14,CHANDEL,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,OTHERS,MANIPUR,14,CHURACHANDPUR,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,OTHERS,MANIPUR,14,IMPHAL EAST,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,OTHERS,MANIPUR,14,IMPHAL WEST,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,OTHERS,MANIPUR,14,SENAPATI,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,OTHERS,MANIPUR,14,TAMENGLONG,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,OTHERS,MANIPUR,14,THOUBAL,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,OTHERS,MANIPUR,14,UKHRUL,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,MANIPUR,14,BISHNUPUR,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,MANIPUR,14,CHANDEL,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,MANIPUR,14,CHURACHANDPUR,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,MANIPUR,14,IMPHAL EAST,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,MANIPUR,14,IMPHAL WEST,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,MANIPUR,14,SENAPATI,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,MANIPUR,14,TAMENGLONG,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,MANIPUR,14,THOUBAL,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,MANIPUR,14,UKHRUL,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0
