size_class,social_group,state_name,state_code,district_name,district_code,total_holdings_no,total_holdings_area,gross_cropped_area_irrigated,gross_cropped_area_unirrigated,gross_cropped_area_total
ALL CLASSES,INSTITUTIONAL,MANIPUR,14,BISHNUPUR,275,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MANIPUR,14,CHANDEL,280,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MANIPUR,14,CHURACHANDPUR,274,5,35,0,35,35
ALL CLASSES,INSTITUTIONAL,MANIPUR,14,IMPHAL EAST,278,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MANIPUR,14,IMPHAL WEST,277,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MANIPUR,14,SENAPATI,272,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MANIPUR,14,TAMENGLONG,273,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MANIPUR,14,THOUBAL,276,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MANIPUR,14,UKHRUL,279,20,140,0,287,287
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14,BISHNUPUR,275,1005,1290,45,1585,1630
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14,CHANDEL,280,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14,CHURACHANDPUR,274,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14,IMPHAL EAST,278,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14,IMPHAL WEST,277,1535,2380,95,2297,2392
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14,SENAPATI,272,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14,TAMENGLONG,273,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14,THOUBAL,276,565,585,288,448,736
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14,UKHRUL,279,0,0,0,0,0
ALL CLASSES,OTHERS,MANIPUR,14,BISHNUPUR,275,12890,18000,8160,14920,23081
ALL CLASSES,OTHERS,MANIPUR,14,CHANDEL,280,0,0,0,0,0
ALL CLASSES,OTHERS,MANIPUR,14,CHURACHANDPUR,274,0,0,0,0,0
ALL CLASSES,OTHERS,MANIPUR,14,IMPHAL EAST,278,18010,18580,1537,24303,25840
ALL CLASSES,OTHERS,MANIPUR,14,IMPHAL WEST,277,20410,18750,1004,19489,20493
ALL CLASSES,OTHERS,MANIPUR,14,SENAPATI,272,0,0,0,0,0
ALL CLASSES,OTHERS,MANIPUR,14,TAMENGLONG,273,0,0,0,0,0
ALL CLASSES,OTHERS,MANIPUR,14,THOUBAL,276,31860,33305,23710,24173,47883
ALL CLASSES,OTHERS,MANIPUR,14,UKHRUL,279,0,0,0,0,0
ALL CLASSES,SCHEDULED TRIBES,MANIPUR,14,BISHNUPUR,275,50,20,5,25,30
ALL CLASSES,SCHEDULED TRIBES,MANIPUR,14,CHANDEL,280,6265,9670,0,10702,10702
ALL CLASSES,SCHEDULED TRIBES,MANIPUR,14,CHURACHANDPUR,274,15385,13710,0,16006,16006
ALL CLASSES,SCHEDULED TRIBES,MANIPUR,14,IMPHAL EAST,278,1700,1940,0,2409,2409
ALL CLASSES,SCHEDULED TRIBES,MANIPUR,14,IMPHAL WEST,277,185,120,1,169,170
ALL CLASSES,SCHEDULED TRIBES,MANIPUR,14,SENAPATI,272,20580,22220,0,28303,28303
ALL CLASSES,SCHEDULED TRIBES,MANIPUR,14,TAMENGLONG,273,7685,16020,0,17302,17302
ALL CLASSES,SCHEDULED TRIBES,MANIPUR,14,THOUBAL,276,185,200,98,162,260
ALL CLASSES,SCHEDULED TRIBES,MANIPUR,14,UKHRUL,279,12285,15095,0,17724,17724
ALL CLASSES,ALL SOCIAL GROUPS,MANIPUR,14,BISHNUPUR,275,13945,19310,8211,16530,24741
ALL CLASSES,ALL SOCIAL GROUPS,MANIPUR,14,CHANDEL,280,6265,9670,0,10702,10702
ALL CLASSES,ALL SOCIAL GROUPS,MANIPUR,14,CHURACHANDPUR,274,15390,13745,0,16041,16041
ALL CLASSES,ALL SOCIAL GROUPS,MANIPUR,14,IMPHAL EAST,278,19710,20520,1537,26712,28249
ALL CLASSES,ALL SOCIAL GROUPS,MANIPUR,14,IMPHAL WEST,277,22130,21250,1100,21956,23056
ALL CLASSES,ALL SOCIAL GROUPS,MANIPUR,14,SENAPATI,272,20580,22220,0,28303,28303
ALL CLASSES,ALL SOCIAL GROUPS,MANIPUR,14,TAMENGLONG,273,7685,16020,0,17302,17302
ALL CLASSES,ALL SOCIAL GROUPS,MANIPUR,14,THOUBAL,276,32610,34090,24095,24783,48879
ALL CLASSES,ALL SOCIAL GROUPS,MANIPUR,14,UKHRUL,279,12305,15235,0,18011,18011
20.0 & ABOVE,INSTITUTIONAL,MANIPUR,14,BISHNUPUR,275,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,MANIPUR,14,CHANDEL,280,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,MANIPUR,14,CHURACHANDPUR,274,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,MANIPUR,14,IMPHAL EAST,278,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,MANIPUR,14,IMPHAL WEST,277,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,MANIPUR,14,SENAPATI,272,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,MANIPUR,14,TAMENGLONG,273,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,MANIPUR,14,THOUBAL,276,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,MANIPUR,14,UKHRUL,279,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,MANIPUR,14,BISHNUPUR,275,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,MANIPUR,14,CHANDEL,280,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,MANIPUR,14,CHURACHANDPUR,274,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,MANIPUR,14,IMPHAL EAST,278,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,MANIPUR,14,IMPHAL WEST,277,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,MANIPUR,14,SENAPATI,272,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,MANIPUR,14,TAMENGLONG,273,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,MANIPUR,14,THOUBAL,276,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,MANIPUR,14,UKHRUL,279,0,0,0,0,0
20.0 & ABOVE,OTHERS,MANIPUR,14,BISHNUPUR,275,0,0,0,0,0
20.0 & ABOVE,OTHERS,MANIPUR,14,CHANDEL,280,0,0,0,0,0
20.0 & ABOVE,OTHERS,MANIPUR,14,CHURACHANDPUR,274,0,0,0,0,0
20.0 & ABOVE,OTHERS,MANIPUR,14,IMPHAL EAST,278,0,0,0,0,0
20.0 & ABOVE,OTHERS,MANIPUR,14,IMPHAL WEST,277,0,0,0,0,0
20.0 & ABOVE,OTHERS,MANIPUR,14,SENAPATI,272,0,0,0,0,0
20.0 & ABOVE,OTHERS,MANIPUR,14,TAMENGLONG,273,0,0,0,0,0
20.0 & ABOVE,OTHERS,MANIPUR,14,THOUBAL,276,0,0,0,0,0
20.0 & ABOVE,OTHERS,MANIPUR,14,UKHRUL,279,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,MANIPUR,14,BISHNUPUR,275,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,MANIPUR,14,CHANDEL,280,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,MANIPUR,14,CHURACHANDPUR,274,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,MANIPUR,14,IMPHAL EAST,278,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,MANIPUR,14,IMPHAL WEST,277,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,MANIPUR,14,SENAPATI,272,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,MANIPUR,14,TAMENGLONG,273,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,MANIPUR,14,THOUBAL,276,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,MANIPUR,14,UKHRUL,279,0,0,0,0,0
20.0 & ABOVE,ALL SOCIAL GROUPS,MANIPUR,14,BISHNUPUR,275,0,0,0,0,0
20.0 & ABOVE,ALL SOCIAL GROUPS,MANIPUR,14,CHANDEL,280,0,0,0,0,0
20.0 & ABOVE,ALL SOCIAL GROUPS,MANIPUR,14,CHURACHANDPUR,274,0,0,0,0,0
20.0 & ABOVE,ALL SOCIAL GROUPS,MANIPUR,14,IMPHAL EAST,278,0,0,0,0,0
20.0 & ABOVE,ALL SOCIAL GROUPS,MANIPUR,14,IMPHAL WEST,277,0,0,0,0,0
20.0 & ABOVE,ALL SOCIAL GROUPS,MANIPUR,14,SENAPATI,272,0,0,0,0,0
20.0 & ABOVE,ALL SOCIAL GROUPS,MANIPUR,14,TAMENGLONG,273,0,0,0,0,0
20.0 & ABOVE,ALL SOCIAL GROUPS,MANIPUR,14,THOUBAL,276,0,0,0,0,0
20.0 & ABOVE,ALL SOCIAL GROUPS,MANIPUR,14,UKHRUL,279,0,0,0,0,0
Below 0.5,INSTITUTIONAL,MANIPUR,14,BISHNUPUR,275,0,0,0,0,0
Below 0.5,INSTITUTIONAL,MANIPUR,14,CHANDEL,280,0,0,0,0,0
Below 0.5,INSTITUTIONAL,MANIPUR,14,CHURACHANDPUR,274,0,0,0,0,0
Below 0.5,INSTITUTIONAL,MANIPUR,14,IMPHAL EAST,278,0,0,0,0,0
Below 0.5,INSTITUTIONAL,MANIPUR,14,IMPHAL WEST,277,0,0,0,0,0
Below 0.5,INSTITUTIONAL,MANIPUR,14,SENAPATI,272,0,0,0,0,0
Below 0.5,INSTITUTIONAL,MANIPUR,14,TAMENGLONG,273,0,0,0,0,0
Below 0.5,INSTITUTIONAL,MANIPUR,14,THOUBAL,276,0,0,0,0,0
Below 0.5,INSTITUTIONAL,MANIPUR,14,UKHRUL,279,0,0,0,0,0
Below 0.5,SCHEDULED CASTE,MANIPUR,14,BISHNUPUR,275,20,5,0,9,9
Below 0.5,SCHEDULED CASTE,MANIPUR,14,CHANDEL,280,0,0,0,0,0
Below 0.5,SCHEDULED CASTE,MANIPUR,14,CHURACHANDPUR,274,0,0,0,0,0
Below 0.5,SCHEDULED CASTE,MANIPUR,14,IMPHAL EAST,278,0,0,0,0,0
Below 0.5,SCHEDULED CASTE,MANIPUR,14,IMPHAL WEST,277,130,35,1,39,40
Below 0.5,SCHEDULED CASTE,MANIPUR,14,SENAPATI,272,0,0,0,0,0
Below 0.5,SCHEDULED CASTE,MANIPUR,14,TAMENGLONG,273,0,0,0,0,0
Below 0.5,SCHEDULED CASTE,MANIPUR,14,THOUBAL,276,120,30,15,26,41
Below 0.5,SCHEDULED CASTE,MANIPUR,14,UKHRUL,279,0,0,0,0,0
Below 0.5,OTHERS,MANIPUR,14,BISHNUPUR,275,2570,940,280,1415,1696
Below 0.5,OTHERS,MANIPUR,14,CHANDEL,280,0,0,0,0,0
Below 0.5,OTHERS,MANIPUR,14,CHURACHANDPUR,274,0,0,0,0,0
Below 0.5,OTHERS,MANIPUR,14,IMPHAL EAST,278,4695,1580,74,2248,2321
Below 0.5,OTHERS,MANIPUR,14,IMPHAL WEST,277,4500,1150,54,1421,1474
Below 0.5,OTHERS,MANIPUR,14,SENAPATI,272,0,0,0,0,0
Below 0.5,OTHERS,MANIPUR,14,TAMENGLONG,273,0,0,0,0,0
Below 0.5,OTHERS,MANIPUR,14,THOUBAL,276,6945,1775,1429,1474,2903
Below 0.5,OTHERS,MANIPUR,14,UKHRUL,279,0,0,0,0,0
Below 0.5,SCHEDULED TRIBES,MANIPUR,14,BISHNUPUR,275,20,5,1,9,10
Below 0.5,SCHEDULED TRIBES,MANIPUR,14,CHANDEL,280,600,190,0,377,377
Below 0.5,SCHEDULED TRIBES,MANIPUR,14,CHURACHANDPUR,274,3880,1465,0,1735,1735
Below 0.5,SCHEDULED TRIBES,MANIPUR,14,IMPHAL EAST,278,390,120,0,169,169
Below 0.5,SCHEDULED TRIBES,MANIPUR,14,IMPHAL WEST,277,65,20,0,36,36
Below 0.5,SCHEDULED TRIBES,MANIPUR,14,SENAPATI,272,3130,1175,0,1773,1773
Below 0.5,SCHEDULED TRIBES,MANIPUR,14,TAMENGLONG,273,160,40,0,40,40
Below 0.5,SCHEDULED TRIBES,MANIPUR,14,THOUBAL,276,15,5,3,7,10
Below 0.5,SCHEDULED TRIBES,MANIPUR,14,UKHRUL,279,1935,735,0,1013,1013
Below 0.5,ALL SOCIAL GROUPS,MANIPUR,14,BISHNUPUR,275,2610,950,281,1433,1715
Below 0.5,ALL SOCIAL GROUPS,MANIPUR,14,CHANDEL,280,600,190,0,377,377
Below 0.5,ALL SOCIAL GROUPS,MANIPUR,14,CHURACHANDPUR,274,3880,1465,0,1735,1735
Below 0.5,ALL SOCIAL GROUPS,MANIPUR,14,IMPHAL EAST,278,5085,1700,74,2416,2490
Below 0.5,ALL SOCIAL GROUPS,MANIPUR,14,IMPHAL WEST,277,4695,1205,55,1496,1550
Below 0.5,ALL SOCIAL GROUPS,MANIPUR,14,SENAPATI,272,3130,1175,0,1773,1773
Below 0.5,ALL SOCIAL GROUPS,MANIPUR,14,TAMENGLONG,273,160,40,0,40,40
Below 0.5,ALL SOCIAL GROUPS,MANIPUR,14,THOUBAL,276,7080,1810,1446,1508,2954
Below 0.5,ALL SOCIAL GROUPS,MANIPUR,14,UKHRUL,279,1935,735,0,1013,1013
1.0-2.0,INSTITUTIONAL,MANIPUR,14,BISHNUPUR,275,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,MANIPUR,14,CHANDEL,280,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,MANIPUR,14,CHURACHANDPUR,274,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,MANIPUR,14,IMPHAL EAST,278,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,MANIPUR,14,IMPHAL WEST,277,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,MANIPUR,14,SENAPATI,272,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,MANIPUR,14,TAMENGLONG,273,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,MANIPUR,14,THOUBAL,276,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,MANIPUR,14,UKHRUL,279,0,0,0,0,0
1.0-2.0,SCHEDULED CASTE,MANIPUR,14,BISHNUPUR,275,565,565,45,707,753
1.0-2.0,SCHEDULED CASTE,MANIPUR,14,CHANDEL,280,0,0,0,0,0
1.0-2.0,SCHEDULED CASTE,MANIPUR,14,CHURACHANDPUR,274,0,0,0,0,0
1.0-2.0,SCHEDULED CASTE,MANIPUR,14,IMPHAL EAST,278,0,0,0,0,0
1.0-2.0,SCHEDULED CASTE,MANIPUR,14,IMPHAL WEST,277,115,170,11,147,157
1.0-2.0,SCHEDULED CASTE,MANIPUR,14,SENAPATI,272,0,0,0,0,0
1.0-2.0,SCHEDULED CASTE,MANIPUR,14,TAMENGLONG,273,0,0,0,0,0
1.0-2.0,SCHEDULED CASTE,MANIPUR,14,THOUBAL,276,215,215,108,173,281
1.0-2.0,SCHEDULED CASTE,MANIPUR,14,UKHRUL,279,0,0,0,0,0
1.0-2.0,OTHERS,MANIPUR,14,BISHNUPUR,275,5435,9460,4627,7071,11698
1.0-2.0,OTHERS,MANIPUR,14,CHANDEL,280,0,0,0,0,0
1.0-2.0,OTHERS,MANIPUR,14,CHURACHANDPUR,274,0,0,0,0,0
1.0-2.0,OTHERS,MANIPUR,14,IMPHAL EAST,278,5755,7340,711,10079,10790
1.0-2.0,OTHERS,MANIPUR,14,IMPHAL WEST,277,5645,6490,478,6672,7150
1.0-2.0,OTHERS,MANIPUR,14,SENAPATI,272,0,0,0,0,0
1.0-2.0,OTHERS,MANIPUR,14,TAMENGLONG,273,0,0,0,0,0
1.0-2.0,OTHERS,MANIPUR,14,THOUBAL,276,9185,11625,8309,8350,16660
1.0-2.0,OTHERS,MANIPUR,14,UKHRUL,279,0,0,0,0,0
1.0-2.0,SCHEDULED TRIBES,MANIPUR,14,BISHNUPUR,275,0,0,0,0,0
