size_class,social_group,state_name,state_code,district_name,district_code,holding_total_no,holding_total_area,holding_in_village-in-compelete_no,holding_in_village-in-compelete_area,holding_in_village-in-partly-out-partly_no,holding_in_village-in-partly-out-partly_area,holding_in_village-out-completely_no,holding_in_village-out-completely_area,holding_out_tehsil_no,holding_out_tehsil_area
ALL CLASSES,INSTITUTIONAL,MANIPUR,14,BISHNUPUR,275,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MANIPUR,14,CHANDEL,280,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MANIPUR,14,CHURACHANDPUR,274,5,35,5,35,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MANIPUR,14,IMPHAL EAST,278,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MANIPUR,14,IMPHAL WEST,277,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MANIPUR,14,SENAPATI,272,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MANIPUR,14,TAMENGLONG,273,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MANIPUR,14,THOUBAL,276,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MANIPUR,14,UKHRUL,279,20,140,20,140,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14,BISHNUPUR,275,1005,1290,906,1204,99,86,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14,CHANDEL,280,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14,CHURACHANDPUR,274,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14,IMPHAL EAST,278,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14,IMPHAL WEST,277,1535,2380,1516,2332,19,48,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14,SENAPATI,272,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14,TAMENGLONG,273,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14,THOUBAL,276,565,585,565,585,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14,UKHRUL,279,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,OTHERS,MANIPUR,14,BISHNUPUR,275,12890,18000,11041,15104,789,1204,1060,1692,0,0
ALL CLASSES,OTHERS,MANIPUR,14,CHANDEL,280,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,OTHERS,MANIPUR,14,CHURACHANDPUR,274,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,OTHERS,MANIPUR,14,IMPHAL EAST,278,18010,18580,17465,16824,504,1710,41,46,0,0
ALL CLASSES,OTHERS,MANIPUR,14,IMPHAL WEST,277,20410,18750,20295,18525,39,75,61,85,15,66
